Industry,Company,ESG Commitment,Target Year,Net Zero Fit,Energy Fit,Water Fit,Pain Point
IT & ITES,TCS,Net Zero,2030,Very Strong,Very Strong,Strong,Scope 2 emissions & data centre energy
IT & ITES,Infosys,Carbon Neutral,2040,Very Strong,Very Strong,Strong,RE100 commitments & campus energy
IT & ITES,Wipro,Net Zero,2040,Very Strong,Very Strong,Strong,Energy-intensive operations
IT & ITES,HCLTech,Net Zero,2040,Very Strong,Very Strong,Strong,Data centre cooling & emissions
BFSI,HDFC Bank,Net Zero,2050,Very Strong,Strong,Moderate,Green branches & ESG disclosures
BFSI,ICICI Bank,Sustainable Operations,2040,Very Strong,Strong,Moderate,Investor pressure & reporting
BFSI,Axis Bank,ESG Integration,2035,Very Strong,Strong,Moderate,Regulatory compliance
BFSI,Kotak Mahindra Bank,Green Banking,2040,Very Strong,Strong,Moderate,ESG governance gaps
Healthcare,Apollo Hospitals,Carbon Neutrality Roadmap,2040,Strong,Very Strong,Very Strong,High electricity & water use
Healthcare,Fortis,Energy Efficiency Programs,2035,Strong,Very Strong,Very Strong,Medical waste & energy cost
Healthcare,Manipal Hospitals,Sustainable Healthcare,2040,Strong,Very Strong,Very Strong,Water-intensive operations
